count,category
4,"structure"
4,"wasm"
3,"API_MISMATCH"
3,"CONCURRENCY"
3,"DATA_FLOW"
3,"DECEPTION"
3,"DECEPTIVE_BENCHMARK"
3,"DECEPTIVE_FACADE"
3,"DESIGN_FLAW"
3,"FABRICATED_DATA"
3,"FABRICATED_METRICS"
3,"Incomplete"
3,"MEASUREMENT_FACADE"
3,"MEMORY"
3,"MISLEADING_NAME"
3,"MISSING_VALIDATION"
3,"PHYSICS"
3,"PSEUDOSCIENCE"
3,"REAL_INFRASTRUCTURE"
3,"RISK"
3,"ROBUSTNESS"
3,"SIMULATED"
3,"SMOKE_TEST"
3,"TYPES"
3,"TYPE_SAFETY"
3,"Testing"
3,"VALIDATION"
3,"WASM"
3,"WASM_CAPABILITY"
3,"coordination"
3,"data-processing"
3,"data-types"
3,"facade-detection"
3,"facade-pattern"
3,"filtering"
3,"genuine-functionality"
3,"genuine-measurement"
3,"isolation"
3,"lifecycle"
3,"maintenance"
3,"metadata"
3,"mislabeling"
3,"misleading-claims"
3,"missing-dependency"
3,"monitoring"
3,"no-backpropagation"
3,"non_compilable"
3,"not-implemented"
3,"performance-claims"
3,"real-function-call"
3,"simplification"
3,"statistics"
3,"storage"
3,"stub-pattern"
3,"test-quality"
3,"testing_issue"
3,"tests"
3,"unused-code"
3,"unused-param"
3,"usability"
3,"validation-quality"
3,"verification"
2,"ALGORITHM_CORRECTNESS"
2,"ALGORITHM_QUALITY"
2,"API"
2,"API_COMPLETENESS"
2,"ARCHITECTURAL"
2,"Algorithm"
2,"BENCHMARK_ISOLATION"
2,"BIMODAL_ARCHITECTURE"
2,"BIMODAL_METRICS"
2,"CIRCULAR_LOGIC"
2,"CODE_STRUCTURE"
2,"CONFIGURATION_FACADE"
2,"CONSCIOUSNESS_FRAUD"
2,"CONTEXT"
2,"CORE_LOGIC"
2,"CROSS_REF"
2,"DATA_MODEL"
2,"DEPENDENCY_USAGE"
2,"DESIGN_PATTERN"
2,"DISCONNECTED"
2,"DUPLICATION"
2,"Documentation"
2,"EXPERIMENT_FACADE"
2,"Error Handling"
2,"FALSE_CLAIM"
2,"Gap"
2,"HARDCODED"
2,"HARDCODED_METRIC"
2,"IMPLEMENTATION_DETAIL"
2,"INCOMPLETE_FEATURE"
2,"INCOMPLETE_INTEGRATION"
2,"INSTRUMENTATION_LOSS"
2,"LOGGING"
2,"LOGIC_BUG"
2,"MARKETING_THEATER"
2,"MATH_APPROXIMATION"
2,"MCP_INTEGRATION"
2,"MEASUREMENT_VALIDITY"
2,"MEMORY_MANAGEMENT"
2,"MESSAGING_INFLATION"
2,"MISLEADING_ARCHITECTURE"
2,"MISSING_PROTOCOL"
2,"ML"
2,"MOCK"
2,"MODULE_COMMENTS"
2,"Metrics"
2,"NUMERICAL_STABILITY"
2,"OPERATION_COUNTING"
2,"ORPHANED_CODE"
2,"Observability"
2,"PARTIAL"
2,"PERFORMANCE_OPTIMIZATION"
2,"PLACEHOLDER_IMPL"
2,"PROTOCOL"
2,"PUBLIC_API"
2,"QUALITY_GAP"
2,"REFERENCE"
2,"SIMD"
2,"SIMULATION"
2,"STATE_MANAGEMENT"
2,"STATISTICAL_THEATER"
2,"STUB_API"
2,"SYNTHETIC_DATA"
2,"THEATRICAL"
2,"USABILITY"
2,"WRONG_ALGORITHM"
2,"algorithm-bug"
2,"algorithm-implementation"
2,"algorithm-incorrect"
2,"algorithms"
2,"analysis"
2,"arbitrary-logic"
2,"architectural-issue"
2,"architectural-mismatch"
2,"architecture-insight"
2,"architecture-issue"
2,"architecture-pattern"
2,"backward-pass"
2,"batch-cycling"
2,"benchmarking"
2,"bimodal-architecture"
2,"broken-dependency"
2,"build-system"
2,"claim"
2,"claims"
2,"code-duplication"
2,"code_quality"
2,"config-cloning"
2,"context"
2,"context-pattern"
2,"coverage-gap"
2,"criterion-config"
2,"criterion-loop"
2,"cross-file-reference"
2,"cross-reference"
2,"crypto-real"
2,"data-fidelity"
2,"data-loss"
2,"decision-logic"
2,"degradation"
2,"disconnect"
2,"disconnection"
2,"dispatch"
2,"distribution"
2,"duplicate-implementation"
2,"duplication"
2,"embedding"
2,"embedding-quality"
2,"embeddings"
2,"error-context"
2,"evaluate"
2,"event-driven"
2,"export"
2,"file-output"
2,"forward-pass"
2,"functional-feature"
2,"genuine-aggregation"
2,"genuine-benchmark"
2,"genuine-comprehensive"
2,"genuine-config"
2,"genuine-criterion"
2,"genuine-data-generation"
2,"genuine-parallel"
2,"genuine-reporting"
2,"implementation-gap"
2,"import-error"
2,"imports"
2,"incomplete-feature"
2,"incomplete_coverage"
2,"incomplete_testing"
2,"inflated-metrics"
2,"interface-design"
2,"logging"
2,"logic-error"
2,"measurement-deception"
2,"memory-delta"
2,"misleading-marketing"
2,"misleading-naming"
2,"missing-feature"
2,"missing_tests"
2,"no-persistence"
2,"non-functional"
2,"numerical-methods"
2,"optimization-technique"
2,"orphaned-code"
2,"patterns"
2,"performance-tracking"
2,"positive-security"
2,"quantum-physics-validation"
2,"real-api"
2,"real-calculations"
2,"real-chunking"
2,"real-dependencies"
2,"real-timing"
2,"report-structure"
2,"safety"
2,"simulated-accuracy"
2,"streaming"
2,"test-design"
2,"theatrical-fallback"
2,"timing"
2,"training-loop"
2,"type-design"
2,"unimplemented-feature"
2,"unused-integration"
2,"utility"
2,"versioning"
1,"ALGORITHMIC_CORRECTNESS"
1,"ALGORITHMIC_FUNDAMENTALS"
1,"ALGORITHM_COVERAGE"
1,"ALGORITHM_GAP"
1,"ALGORITHM_IMPL"
1,"ALGORITHM_IMPLEMENTATION"
1,"ANALYSIS"
1,"API_INCONSISTENCY"
1,"API_SURFACE"
1,"API_Surface"
1,"ARCHITECTURAL_CONNECTION"
1,"ARCHITECTURAL_DECISION"
1,"ARCHITECTURAL_FACADE"
1,"ARCHITECTURAL_FLAW"
1,"ARCHITECTURAL_GAP"
1,"ARCHITECTURAL_INSIGHT"
1,"ARCHITECTURAL_MISMATCH"
1,"ARCHITECTURAL_ORPHAN"
1,"ARCHITECTURAL_PATTERN"
1,"ARCHITECTURE_CONFUSION"
1,"ARCHITECTURE_DEBT"
1,"ARCHITECTURE_NOTE"
1,"ASYNC_RUNTIME"
1,"Architectural Design"
1,"BENCHMARKING"
1,"BITWISE_OPERATIONS"
1,"BROKEN_GUARANTEES"
1,"BROKEN_INTEGRATION"
1,"BUG_WORKAROUND"
1,"Boundary Counting"
1,"CACHE_OPTIMIZATION"
1,"CACHING"
1,"CAPABILITY_REPORTING"
1,"CITATION_MISSING"
1,"CODE_DUPLICATION"
1,"CODE_STUB"
1,"COMPARISON"
1,"COMPARISON_FINDING"
1,"COMPILATION_ERROR"
1,"COMPLEXITY"
1,"COMPLEXITY_ANALYZER"
1,"COMPLEXITY_MISREPRESENTATION"
1,"COMPREHENSIVE_SCENARIOS"
1,"CONSTANTS"
1,"COPY_PASTE_DUPLICATE"
1,"COVERAGE"
1,"CRYPTOGRAPHY"
1,"Cache Implementation"
1,"Complexity Constants"
1,"Complexity Gap"
1,"ComputeOps"
1,"Config Mismatch"
1,"Configuration"
1,"Constants"
1,"DATABASE"
1,"DATA_INTEGRITY"
1,"DATA_LAYER"
1,"DATA_LIFECYCLE"
1,"DATA_MARSHALING"
1,"DATA_PATTERN"
1,"DATA_STRUCTURES"
1,"DATA_STRUCTURE_WRAPPER"
1,"DECEPTIVE_COMPARISON"
1,"DECEPTIVE_REPORTING"
1,"DECEPTIVE_SCORING"
1,"DECEPTIVE_STRUCTURE"
1,"DEDUPLICATION"
1,"DELEGATION"
1,"DEPENDENCIES"
1,"DEPENDENCY_DETECTION"
1,"DEPENDENCY_MISSING"
1,"DEPENDENCY_ON_STUB"
1,"DEPS"
1,"DESIGN_ISSUE"
1,"DIMENSION_BUG_WORKAROUND"
1,"DISABLED"
1,"DISABLED_INTEGRATION"
1,"DISCONNECTED_LAYERS"
1,"Deceptive Marketing"
1,"Dependency Graph"
1,"Dependency_Architecture"
1,"Dependency_Surface"
1,"Depth Limiting"
1,"Deterministic vs Probabilistic"
1,"Distribution"
1,"EDGE_CASES"
1,"EFFICIENCY"
1,"EMBEDDING_CHAIN"
1,"ENERGY"
1,"ENVIRONMENT"
1,"ERROR_PROPAGATION_REAL"
1,"Embedding Integration"
1,"Error_Handling"
1,"Expander Decomposition Gap"
1,"FABRICATED"
1,"FACADE_AVAILABLE_ACTIONS"
1,"FACADE_INITIALIZATION"
1,"FACADE_LAYER"
1,"FAKE_BENCHMARKING"
1,"FAKE_IMPLEMENTATION"
1,"FALLBACK_CASCADE"
1,"FALLBACK_PATTERN"
1,"FALLBACK_STUB"
1,"FEATURE_CONFIG"
1,"FEATURE_GATE"
1,"FEATURE_INTERFACE"
1,"FILE_METADATA"
1,"FORMAT_CONVERSION"
1,"FRAGMENTATION"
1,"Fabricated Reasoning"
1,"Facade"
1,"Fake Metrics"
1,"False Claim"
1,"False Sublinearity"
1,"Feature"
1,"GENUINE_ACTION_BULK"
1,"GENUINE_ALGORITHMS"
1,"GENUINE_CODE"
1,"GENUINE_INFRA"
1,"GENUINE_MEMORY_MGMT"
1,"GENUINE_MULTI_GOAL"
1,"GENUINE_PLAN_EXEC"
1,"GENUINE_STATE_MGMT"
1,"GENUINE_SUCCESSORS"
1,"GENUINE_WASM"
1,"GEOMETRICALLY_WRONG"
1,"GRACEFUL_DEGRADATION"
1,"Gradient Computation"
1,"HARDCODED_DATA"
1,"HARDCODED_DEFAULTS"
1,"HARDCODED_PARAMETERS"
1,"HARDCODING"
1,"HELPER_METHODS"
1,"HEURISTIC_ANALYSIS"
1,"Hierarchy Coarsening"
1,"IMPLEMENTATION_GAP"
1,"INCOMPLETE_ALGORITHM"
1,"INCOMPLETE_CODE"
1,"INCOMPLETE_MEASUREMENT"
1,"INCONSISTENCY"
1,"INFLATION"
1,"INFRASTRUCTURE"
1,"INITIALIZATION_DETAIL"
1,"INPUT_VALIDATION"
1,"INSTRUMENTATION"
1,"INTEGRATION_INCOMPLETE"
1,"INTEGRATION_POINT"
1,"INTEGRATION_TEST"
1,"INTERFACE_COMPLIANCE"
1,"INTERFACE_ONLY"
1,"ITERATOR_CORRECTNESS"
1,"ITERATOR_IMPLEMENTATION"
1,"In-Memory Only"
1,"Incomplete Algorithm"
1,"Incorrect Verification"
1,"Input Validation"
1,"Integration Architecture"
1,"JS_OPTIMIZATION"
1,"KMER_ALGORITHM"
1,"LIFECYCLE"
1,"LIST"
1,"LOOKUP_TABLE"
1,"LOW_SIGNAL"
1,"LocalKCut Initialization"
1,"MAINTENANCE"
1,"MATH_IMPLEMENTATION"
1,"MATH_RANDOM_FACADE"
1,"MATH_VERIFIED"
1,"MEMORY_SAFETY"
1,"METADATA_GENUINE"
1,"METRICS"
1,"MINOR_ISSUE"
1,"MISLEADING_API"
1,"MISLEADING_CLAIMS"
1,"MISLEADING_LOGGING"
1,"MISLEADING_PERFORMANCE_CLAIMS"
1,"MISSING_DISTRIBUTED_LOGIC"
1,"MISSING_FUNCTIONALITY"
1,"MISSING_INTEGRATION"
1,"MIXED"
1,"MIXED_PLAN_TO_STATE"
1,"MIXED_VALIDITY"
1,"Mathematical Correctness"
1,"Memory"
1,"Misleading Architecture"
1,"Misleading Step Tracking"
1,"Missing Certification"
1,"Missing Implementation"
1,"Missing Integration"
1,"Missing Tree Packing"
1,"Module Organization"
1,"Monitoring"
1,"NAIVE_IMPLEMENTATION"
1,"NAMING"
1,"NEURAL_ACCELERATION"
1,"NOMENCLATURE"
1,"NON_FUNCTIONAL"
1,"NO_STUBS_FOUND"
1,"Naive Recourse Tracking"
1,"OBSERVABILITY"
1,"OPTIMIZATION_PREVENTION"
1,"ORCHESTRATION_FACADE"
1,"ORPHANED"
1,"Orphaned"
1,"Orphaned Architecture"
1,"PARSING"
1,"PERCENTILE_ACCURACY"
1,"PERFORMANCE_GAP"
1,"PERFORMANCE_ISSUE"
1,"PERFORMANCE_METRIC"
1,"PERFORMANCE_TARGET_INFLATION"
1,"PHILOSOPHICAL"
1,"PHYSICS_CLAIMS"
1,"PLATFORM_ABSTRACTION"
1,"POSITIVE_FINDING"
1,"PROCEDURAL_SIMULATION"
1,"PRODUCTION"
1,"PRODUCTION_READINESS"
1,"PRODUCTION_SEARCH"
1,"Path Analysis"
1,"Performance Claims"
1,"Performance Tracking"
1,"Physics_Model"
1,"Policy"
1,"Positive - Incremental API"
1,"Positive - Tests"
1,"Positive - Type Safety"
1,"QUALITY_METRIC"
1,"QUALITY_METRICS"
1,"QUERY_DESIGN"
1,"Query Implementation"
1,"REALISTIC_CLAIM"
1,"REALNESS_SIGNAL"
1,"REAL_ACCURACY"
1,"REAL_ALGORITHM_DISABLED"
1,"REAL_AUTO_SELECTION"
1,"REAL_BENCHMARK_FRAMEWORK"
1,"REAL_LATENCY"
1,"REAL_MATRIX_ANALYSIS"
1,"REAL_OPERATIONS"
1,"REAL_OPTIMIZATION"
1,"REPORT_GENERATION"
1,"RESET_WORKAROUND"
1,"RESOURCE_EXHAUSTION"
1,"RESTRICTED_APPLICABILITY"
1,"ROOT_CAUSE_VALIDATION"
1,"RULES_UNKNOWN"
1,"Reasoning Type Classification"
1,"Routing"
1,"SAFETY"
1,"SCORING_LOGIC"
1,"SEARCH"
1,"SECURITY_POSITIVE"
1,"SELF_REFERENTIAL"
1,"SEMANTICS"
1,"SERIALIZATION"
1,"SERIALIZATION_CORRECT"
1,"SHARDED_INDEX_REAL"
1,"SILENT_FAILURE"
1,"SIMPLIFIED"
1,"SIMULATED_METRICS"
1,"SIMULATED_RL"
1,"SIMULATION_ONLY"
1,"SORTING"
1,"SPECIFICATION_ONLY"
1,"STATISTICAL_COMPOSITION"
1,"STATISTICS_PASSTHROUGH"
1,"STATS"
1,"STRATEGIC"
1,"STRUCTURAL"
1,"STRUCTURE"
1,"STUB_FUNCTION"
1,"STUB_METHODS"
1,"SUCCESS_CRITERIA_VALIDITY"
1,"SYNTH_DATA"
1,"SYSTEMIC_ISSUE"
1,"Semantics"
1,"Session Management"
1,"Singleton Pattern"
1,"Statistics"
1,"String Matching Reasoning"
1,"Stub Inference"
1,"TANGENT_CACHE_REAL"
1,"TEMPLATE_SUBSTITUTION"
1,"TEMPORAL"
1,"TEMPORAL_ALGORITHM"
1,"TEST_AUTHENTICITY"
1,"TEST_COVERAGE_REAL"
1,"TEST_DESIGN"
1,"TEST_INCOMPLETENESS"
1,"TEST_PATTERN"
1,"TEST_WEAKNESS"
1,"THEATRICAL_OUTPUT"
1,"THEATRICAL_PSEUDOSCIENCE"
1,"THEORETICAL_ONLY"
1,"THRESHOLD"
1,"THROUGHPUT_METRICS"
1,"TIMEOUT_PROTECTION"
1,"TOKEN_HANDLING"
1,"TRAINING"
1,"TRAINING_CORRECTNESS"
1,"TRAIT_MISMATCH"
1,"TYPE_CONVERSION"
1,"TYPE_ISSUE"
1,"TYPE_SYSTEM"
1,"Templated Responses"
1,"Testing Coverage"
1,"Training"
1,"Trait Design"
1,"Triple Storage"
1,"TypeScript Interfaces"
1,"UNREALISTIC"
1,"UNSAFE_CODE_OVERHEAD"
1,"UNUSED"
1,"UNUSED_BINARY"
1,"UNUSED_CODE"
1,"UNUSED_IMPORT"
1,"Unrealistic Defaults"
1,"Uptime Tracking"
1,"VECTOR_INTEGRATION"
1,"VERIFICATION"
1,"Vector Embeddings"
1,"WARMUP"
1,"WASM_BINDING"
1,"WASM_BINDING_CORRECT"
1,"WASM_CONFIG"
1,"WASM_FACADE"
1,"WASM_GENUINE"
1,"WASM_TYPE_CLASSIFICATION"
1,"WASM_VERDICT"
1,"WEAK_HEURISTIC"
1,"WEIGHTED_COMPOSITION"
1,"WEIGHT_INITIALIZATION"
1,"WHAT_IF_PASSTHROUGH"
1,"accuracy-calc"
1,"actionable-suggestions"
1,"adr"
1,"agent-booster-genuine"
1,"agent-errors"
1,"aggregates"
1,"algorithm-composition"
1,"algorithm-design"
1,"algorithm-mismatch"
1,"algorithm-novelty"
1,"algorithmic"
1,"algorithmic-correctness"
1,"algorithmic-novelty"
1,"algorithmic-simplification"
1,"algorithmic-soundness"
1,"analysis-genuine"
1,"analysis-types"
1,"api-completeness"
1,"api-quality"
1,"api-usage"
1,"api_design"
1,"architectural"
1,"architectural-deception"
1,"architectural-isolation"
1,"architectural-pattern"
1,"architecture-concern"
1,"architecture-disconnect"
1,"architecture-fiction"
1,"architecture-inconsistency"
1,"architecture-validation"
1,"architecture_clarity"
1,"aspirational"
1,"assembly"
1,"assertion-coverage"
1,"attention-decay"
1,"batching"
1,"benchmark"
1,"benchmark-authenticity"
1,"benchmark-completeness"
1,"benchmark-design"
1,"benchmark-framework"
1,"benchmark-methodology"
1,"benchmark-scope"
1,"benchmark-status"
1,"benchmark-structure"
1,"bidirectional"
1,"body-parser"
1,"broken-import"
1,"broken-reference"
1,"build"
1,"build_system"
1,"built-in-functions"
1,"cache-ttl"
1,"capacity"
1,"capacity-management"
1,"circular-dependency"
1,"class-architecture"
1,"cli-integration"
1,"cli-wrapper-facade"
1,"clifford-simulation"
1,"code-smell"
1,"code_structure"
1,"commented-claim"
1,"comparative-ranking"
1,"compatibility"
1,"compilation"
1,"compilation-blocker"
1,"compilation-error"
1,"complexity"
1,"complexity-analysis"
1,"complexity-claim"
1,"concurrency-errors"
1,"confidence-level"
1,"config-struct"
1,"conjugate-gradient"
1,"consistency"
1,"console-theater"
1,"constants"
1,"core-architecture"
1,"correct-abstractions"
1,"correct-bindings"
1,"correct-logic"
1,"correctness-concern"
1,"cosine-similarity"
1,"cost-propagation"
1,"cost-tracking"
1,"coverage"
1,"cross-file"
1,"cross-platform"
1,"cross-repo"
1,"data"
1,"data-completeness"
1,"data-dependency"
1,"data-mapping"
1,"data_structure"
1,"database"
1,"database-queries"
1,"dataset"
1,"dead-config"
1,"dead-feature"
1,"dead-parameter"
1,"debug"
1,"decode"
1,"delegation"
1,"dependency-error"
1,"dependency-structure"
1,"design-flaw"
1,"design-limitation"
1,"dimension-mismatch"
1,"discovery"
1,"discrepancy"
1,"display"
1,"distributed-systems"
1,"dropoutrate"
1,"dual-retrieval"
1,"duplicate-code"
1,"duplicate-facade"
1,"edge-case"
1,"efficiency"
1,"encode"
1,"encoding"
1,"energy-scale-classification"
1,"environment"
1,"error-factory"
1,"error-taxonomy-genuine"
1,"error-wrapping"
1,"error_handling"
1,"event-architecture"
1,"example"
1,"executable"
1,"execute-method"
1,"execution"
1,"export-capability"
1,"export-formats"
1,"export-pattern"
1,"exports"
1,"expressions"
1,"extensibility"
1,"external-reference"
1,"facade-element"
1,"facade_pattern"
1,"factory-pattern"
1,"fake-embedding"
1,"fake-metric"
1,"fake-sparsity"
1,"fallback-behavior"
1,"fallback-primary"
1,"fallback-quality"
1,"fallback-strategy"
1,"false-api"
1,"false-claim"
1,"false-claims"
1,"fann-heritage"
1,"feature-gap"
1,"feature-gating"
1,"file-assessment"
1,"file-purpose"
1,"filesystem-canonicalization"
1,"finding"
1,"flow-nexus-tools"
1,"format"
1,"format-coverage"
1,"formats"
1,"fragmentation"
1,"framework"
1,"functionality-gap"
1,"gate-operations"
1,"gates-computation"
1,"generated-code"
1,"genuine-dependencies"
1,"genuine-orchestration"
1,"goap"
1,"governance"
1,"graceful-degradation"
1,"graph"
1,"graph-interpretation"
1,"graph-management"
1,"graph-patterns"
1,"gru-gates"
1,"gruCell"
1,"hardcoded"
1,"hardcoded-baselines"
1,"hardcoded-dimension"
1,"hardcoded-path"
1,"hardcoded-values"
1,"hardware"
1,"hash-encoding"
1,"hash-facade"
1,"hash-quality"
1,"hashing"
1,"health-checks"
1,"heartbeat-system"
1,"helper-function"
1,"helper-quality"
1,"heuristic-limitation"
1,"hook-structure"
1,"hooks"
1,"http-client"
1,"implementation-detail"
1,"implementation-note"
1,"implementation_gap"
1,"incomplete-algorithm"
1,"incomplete-persistence"
1,"incorrect-conversion"
1,"infrastructure-genuine"
1,"initialization"
1,"inline-data"
1,"instance-management"
1,"integration-architecture"
1,"integration-completeness"
1,"integration-confirmed"
1,"integration-gap"
1,"integration-mismatch"
1,"integration-pattern"
1,"intelligence"
1,"interaction-protocols"
1,"interface_design"
1,"interop"
1,"loc-analysis"
1,"logging-integration"
1,"loss-function"
1,"lossy-transform"
1,"machine-learning"
1,"maintainability"
1,"marketing-collateral"
1,"math"
1,"math-accuracy"
1,"math-error"
1,"mathematical-correctness"
1,"matrix-operations"
1,"matrix-ops"
1,"mcp-infrastructure"
1,"mcp-protocol"
1,"mcp-reference"
1,"mcp-server"
1,"mcp-tools"
1,"measurement"
1,"measurement-accuracy"
1,"measurement-validity"
1,"memory-concern"
1,"memory-pooling"
1,"memory-retrieval"
1,"memory-tracking"
1,"merging"
1,"method"
1,"metrics-genuine"
1,"mislabeled"
1,"misleading-stats"
1,"missed-opportunity"
1,"missing"
1,"missing-bridge"
1,"missing-data"
1,"missing-import"
1,"missing-module"
1,"missing-validation"
1,"missing-verification"
1,"missing-wasm"
1,"module-initialization"
1,"module-structure"
1,"module_export"
1,"monitoring-quality"
1,"multi-scale-analysis"
1,"multi-source-conflict"
1,"naming-inconsistency"
1,"naming-mismatch"
1,"network-errors"
1,"neural-errors"
1,"neural-net-authenticity"
1,"neural-refinement"
1,"no-goap"
1,"no-implementation"
1,"no-resilience"
1,"no_std"
1,"not-intelligent"
1,"numeric-literals"
1,"numerical"
1,"operational"
1,"optimization-theatrical"
1,"options"
1,"orphan"
1,"orphaned-abstraction"
1,"orphaned-scaffolding"
1,"output"
1,"output-layer"
1,"p-value-threshold"
1,"p2p"
1,"parameter-count"
1,"parsing-primitives"
1,"partial-implementation"
1,"partitioning"
1,"pattern-match"
1,"pattern-matching"
1,"pattern-reversal"
1,"performance-claim"
1,"performance-concern"
1,"performance-theater"
1,"performance_claim"
1,"persistence-errors"
1,"persistence-facade"
1,"persistence-validation"
1,"persistence_disconnection"
1,"physics"
1,"physics-constant"
1,"platform-support"
1,"preemption"
1,"privacy"
1,"process"
1,"projection"
1,"prologue"
1,"prompt-engineering"
1,"property-paths"
1,"purpose"
1,"quality-difference"
1,"quality-illusion"
1,"quality-metrics"
1,"quality-split"
1,"quantization"
1,"quantum-error-correction"
1,"quantum-measurements"
1,"query-complexity"
1,"query-complexity-heuristic"
1,"queue-system"
1,"r20-clarification"
1,"r20-propagation"
1,"race-condition"
1,"random-weights"
1,"ranking-mechanism"
1,"rate-limiting"
1,"rdf-quads"
1,"real-exports"
1,"real-infrastructure"
1,"real-quic-exists"
1,"real-training-loop"
1,"realness-assessment"
1,"recommendation"
1,"recommendations-genuine"
1,"reconnect-logic"
1,"recovery-missing"
1,"redundancy"
1,"reference-novelty"
1,"replan-logic"
1,"resolution"
1,"resource-errors"
1,"resource-management"
1,"resource-mgmt"
1,"resources-count"
1,"sampling"
1,"sampling-rate"
1,"scalability"
1,"schema"
1,"scope-clarification"
1,"scope-gap"
1,"scratchpad-eviction"
1,"security-positive"
1,"semantic"
1,"sensitivity-levels"
1,"server-reference"
1,"session"
1,"session-id-format"
1,"session-management"
1,"shared-parameters"
1,"sigmoid-activation"
1,"silent-degradation"
1,"simplified-statistics"
1,"simulation-not-real"
1,"solution-modifiers"
1,"sparse-csr"
1,"specification"
1,"sql-injection"
1,"stale-pricing"
1,"state"
1,"state-management"
1,"state-tracking"
1,"statistical-quality"
1,"statistical-tests"
1,"status"
1,"stub-code"
1,"style"
1,"sublinear-algorithm-binding"
1,"summary"
1,"swarm"
1,"swarm-errors"
1,"synchronization"
1,"synthetic-data"
1,"system-b-integration"
