count,relationship
2,"optimizes_hyperparams_for"
2,"orchestrates"
2,"parallel-impl"
2,"part-of"
2,"potential-integration"
2,"pub_reexport_indirect"
2,"reads"
2,"references"
2,"sibling-kernel"
2,"solver_family"
2,"supersedes"
2,"test_imports"
2,"tests_via_spawn"
2,"uses-types"
2,"uses_prompt_templates"
2,"uses_struct"
1,"ALGORITHM_COMPLEMENT"
1,"ALTERNATIVE_LOADER"
1,"ARCHITECTURAL_CONTRAST"
1,"BASELINE_FOR"
1,"CALLS_FROM"
1,"COMPLEMENTARY"
1,"COMPLEMENTS"
1,"CONTAINS"
1,"CONTRADICTS"
1,"CONTRASTS_WITH"
1,"COPY_OF_REFACTORED"
1,"Configuration + data structures"
1,"DEPENDS_ON_TYPES"
1,"Delegates learning cycle orchestration"
1,"Drains trajectories for background processing"
1,"EXPORTED_FROM"
1,"EXPORTS_AS_NAMESPACE"
1,"EXPORTS_TO"
1,"EXTENDS"
1,"EdgeFullSonaEngine fallback stores training state via IntelligenceStore persistence layer"
1,"Exported via mod.rs pub use exporter::{MetricsExporter, ExportFormat, ExportConfig, MetricsSummary} (lines 33-38). Also depends on type aliases ConsciousnessLevel=f64, TemporalAdvantage=u64, PrecisionNanos=u64 defined in mod.rs."
1,"FACADE_OF"
1,"HONEST_ALTERNATIVE_TO"
1,"IMPLEMENTS"
1,"IMPLEMENTS_FOR"
1,"IMPORTS_AND_REEXPORTS"
1,"IMPORTS_TYPE"
1,"INTEGRATES"
1,"ISOLATED_FROM"
1,"Initialization + read/write cycles"
1,"Initialized, shared, fed from background"
1,"JS fallback alternative when native unavailable"
1,"LOADS_WASM_INTERFACE"
1,"Loader calls dequantize_tensor() for F32 weights"
1,"MISSING_INTEGRATION"
1,"MODULE_EXPORT"
1,"MODULE_IMPORT"
1,"Model loading uses tokenizer for vocab"
1,"NAME_COLLISION"
1,"OPTIMIZES"
1,"ORCHESTRATED_BY"
1,"PEER"
1,"PROVIDES_NEURAL_API"
1,"Predictor::predict dispatches to SolverGate for SystemB verification"
1,"RECEIVES_DATA_FROM"
1,"REIMPLEMENTS"
1,"REPORTS_FOR"
1,"RE_EXPORTS"
1,"RE_EXPORTS_ALL"
1,"RE_EXPORTS_TYPE"
1,"RuVectorGunOptimizer attempts to use edge-full WASM for HNSW vector search (falls back to hash-based)"
1,"SHARED_TYPE"
1,"SHOULD_INTEGRATE"
1,"SIBLING"
1,"SONA learning can optimize Metal kernel selection"
1,"Shared via Arc<RwLock<>>"
1,"TESTED_BY"
1,"TESTS_VARIANT_OF"
1,"TEST_SUITE"
1,"Trainer::train_epoch_system_b_active uses PageRankSelector for sample selection"
1,"Training produces model used by Predictor for inference"
1,"USES_EXTERNAL_CRATE"
1,"USES_LOADER"
1,"USES_TYPE"
1,"VALIDATES_AGAINST"
1,"VIOLATES"
1,"WRAPS"
1,"algorithmic-parallel"
1,"alternative-implementation"
1,"alternative_to"
1,"always-on submodule"
1,"architectural"
1,"architectural-alternative"
1,"architectural-mismatch"
1,"attempts-import"
1,"auto-dispatch - gelu_auto→activations::batch_gelu (line 749), silu_auto→batch_silu (line 763)"
1,"auto-dispatch - layer_norm_auto→norm::batched_layer_norm_neon (line 798), rms_norm_auto→batched_rms_norm_neon (line 812)"
1,"auto-dispatch - matmul_auto falls back to matmul::gemm_neon (line 734)"
1,"benchmarks"
1,"bidirectional solver combines with ForwardPushSolver"
1,"both implement plasticity rules for same neuron types"
1,"build.rs (defined in Cargo.toml) downloads jj binary consumed by wrapper.rs include_bytes!"
1,"calls RemediationEngine.heal() in health check loop"
1,"calls_broken"
1,"cli_indirect"
1,"client-server"
1,"co-located"
1,"cohomology-sibling"
1,"compared-to"
1,"comparison"
1,"competes_with"
1,"complementary-types"
1,"complements"
1,"composes: SystemB uses KalmanFilter for prior predictions"
1,"composes: SystemB uses PageRankSelector for active sample selection"
1,"composes: SystemB uses SolverGate for verification"
1,"composes: SystemB wraps SystemA as base_network"
1,"conceptual-parallel"
1,"consumes TrainingTriplets"
1,"consumes backward() gradients for parameter updates"
1,"contains"
1,"contrasts_with"
1,"crate_dependency"
1,"creates-via"
1,"cross-lang-impl"
1,"cross_crate_counterpart"
1,"cross_crate_dependency"
1,"cross_repo_comparable"
1,"daa-service.js loads WASM modules exposed via ruv_swarm_wasm.js bindings"
1,"data_dependency"
1,"database-schema"
1,"declared-in"
1,"declared_in"
1,"declares_dependency_but_never_uses"
1,"defines-backends-for"
1,"defines-interface-for"
1,"defines_module"
1,"defines_types_for"
1,"delegates"
1,"delegates - gelu_ane→gelu_scalar (line 500), silu_ane→silu_scalar (line 515), softmax_ane→softmax_scalar (line 530)"
1,"delegates to EdgeFeatured, GraphRoPE, DualSpace"
1,"delegates to InfoNCE, SGD, Adam, AdamW, CurriculumScheduler, HardNegativeMiner"
1,"delegates to core ScaledDotProduct, MultiHead"
1,"delegates-storage"
1,"delegates_to_via_npx"
1,"depends"
1,"depends-on"
1,"depends-on-fallback"
1,"depends_via_bootstrap"
1,"duplicate_of"
1,"duplicates_logic"
1,"embeds_schema"
1,"equivalent_algorithm"
1,"error_handling"
1,"expects_integration"
1,"expert_cache could integrate with rlm_embedder NeighborRetriever for MoE routing"
1,"exported-by"
1,"exports - lib.rs re-exports PagedAttention"
1,"exports - lib.rs re-exports RuvLtraModel"
1,"exports - lib.rs re-exports ServingEngine"
1,"exports-to"
1,"exports_from"
1,"exports_to"
1,"exposed_by_sql_wrapper"
1,"extends - RuvLtraMediumConfig extends RuvLtraConfig patterns"
1,"extends_learning_from"
1,"facade-of"
1,"fallback_chain"
1,"feature-gated submodule"
1,"feature-gated-uses"
1,"ffi-interface"
1,"fixes"
1,"implements-api"
1,"implements-for"
1,"implements-interface"
1,"implements-trait"
1,"import-Pattern-StorageStats"
1,"imported-but-unused"
1,"imported-by"
1,"imported_by"
1,"imports (type)"
1,"imports - implicit - activations module"
1,"imports - uses PagedAttention, PageTable"
1,"imports - uses RopeTables, apply_rope_neon from kernels/rope.rs"
1,"imports - uses activation functions from kernels/activations.rs"
1,"imports @ruvector/attention native addon"
1,"imports ChatMessage, ChatTemplate, RuvTokenizer (line 53). Uses chat templates (lines 286-305), streaming decode (lines 308-332)"
1,"imports ClaudeModel for routing"
1,"imports CognitivePatternEvolution"
1,"imports Config/ModelConfig/InferenceConfig"
1,"imports ConsciousnessMetrics struct via use super::ConsciousnessMetrics (line 10). All export methods take &[ConsciousnessMetrics] history and &ConsciousnessMetrics current as parameters."
1,"imports CoreMLBackend for ANE operations (placeholder integration)"
1,"imports CoreMLBackend for ANE operations (placeholder)"
1,"imports ErrorPatternLearner + RecoverySuggestion"
1,"imports ExecutionContext"
1,"imports Hnsw, PointIndexation, Point, PointId, Neighbour"
1,"imports JJOperation/JJOperationLog/OperationType for operation tracking and logging"
1,"imports JJOperation/OperationType — trajectories are sequences of JJ operations"
1,"imports JJResult for operation execution results"
1,"imports LlmBackend, GenerateParams, GeneratedToken, ModelArchitecture, ModelConfig (lines 41-44)"
1,"imports LlmBackend, GenerateParams, GeneratedToken, ModelArchitecture, ModelConfig (lines 47-50)"
1,"imports LlmBackend, GenerateParams, GeneratedToken, StreamEvent, TokenStream (lines 66-69)"
1,"imports MetaLearningFramework"
1,"imports PagedAttention, PagedAttentionConfig (line 46). Initializes in with_config (lines 745-755)"
1,"imports Pattern type"
1,"imports Perspective trait + CritiqueResult + UnifiedCritique"
1,"imports PushGraph, WorkQueue, VisitedTracker data structures"
1,"imports ReasoningBank for trajectory tracking and pattern-based decision suggestions"
1,"imports Reflection struct"
1,"imports ReflexionMemory controller, calls storeEpisode() and retrieveRelevant()"
1,"imports SimilarityMetrics, VectorEmbedding"
1,"imports SonaConfig, SonaIntegration, Trajectory (line 52). Records trajectories in generate() (lines 1294-1327)"
1,"imports StreamMetrics, FileOperationStats types"
1,"imports all JJ type definitions (JJResult, JJCommit, JJBranch, JJConflict, JJDiff)"
1,"imports and delegates all intelligence operations to RuVectorIntelligence singleton"
1,"imports and initializes EmbeddingService with Xenova/all-MiniLM-L6-v2, passes to all controllers"
1,"imports and uses VectorEmbedding, SimilarityMetrics"
1,"imports apply_rope_neon from kernels/rope.rs for SuRoPE"
1,"imports apply_rope_neon, precompute_rope_tables_with_config, RopeConfig from kernels/rope.rs"
1,"imports bitnet::{TernaryTensor, pack_ternary, absmean_ternary} from parent module"
1,"imports cognitive pattern evolution"
1,"imports crate::tokenizer::RuvTokenizer (line 639, 861-862)"
1,"imports error types"
1,"imports flash_attention_neon from kernels/attention.rs (line 352)"
1,"imports flash_attention_neon, AttentionConfig from kernels/attention.rs"
1,"imports meta-learning framework"
1,"imports types"
1,"imports-domain-model"
1,"imports-extensively"
1,"imports-for-initialization"
1,"imports-uses"
1,"imports_all: use crate::* (line 6). Imports DAAAgent trait, CognitivePattern, DAAResult, DAAError, Task, TaskResult, Feedback, CoordinationResult, Knowledge, AgentMetrics, Priority, etc."
1,"imports_all: use crate::gpu_learning_engine::* (line 7). Heavy dependency - GPULearningEngine, GPULearningConfig, OperationRecord, GPUOperationType, WorkloadDescription, ResourceConstraints, OptimalGPUConfiguration, ThermalState, KnowledgeTransferResult, PerformancePredictions, OptimizationRecommendation, LearningEngineMetrics, PredictionHorizon, NeuralModelConfig, KnowledgeSharingConfig, PerformanceThresholds, WorkloadSize"
1,"imports_broken"
1,"imports_config"
1,"imports_csr_storage"
1,"imports_error_type"
1,"imports_error_types"
1,"imports_gnn_service"
1,"imports_persistence"
1,"imports_precision_type"
1,"imports_simd_ops"
1,"imports_solver"
1,"imports_spawns"
1,"imports_trait"
1,"imports_wasm_bridge"
1,"imports_wasm_loader"
1,"improved_version_of"
1,"incomplete_port"
1,"indirect"
1,"indirect_via_server"
1,"initialization_dependency"
1,"initializes-episodic"
1,"instantiated_by"
1,"instantiation_bridge"
1,"integrates"
1,"integrates AgentBoosterEnhanced for request preprocessing with confidence threshold before proxy dispatch"
1,"integration-target"
1,"internal-validation"
1,"js_fallback_for"
1,"lazy_import"
1,"lib.rs calls CypherEngine.execute()"
1,"lib.rs calls execute_sparql()"
1,"lib.rs calls parse_sparql()"
1,"loads"
1,"loads-config-from"
1,"loads_wasm_module"
1,"manages - scheduler uses KV cache from paged_attention"
1,"member-of"
1,"member_of"
1,"mirrors_architecture"
1,"missing_integration"
1,"mod-wasm"
1,"mod_use_import"
1,"module-definition"
1,"module-export"
1,"module-parent"
1,"module_declaration"
1,"module_export"
1,"mutates via add_fact() in apply_rules()"
1,"naming-conflict"
1,"native_dependency"
1,"npm-module"
1,"npm_dependency"
1,"operates on preprocessed data"
1,"optional-dep"
1,"optional-dependency"
1,"optional-integration"
1,"optional_import"
1,"optional_integration"
1,"orphaned-module"
1,"orphaned_from"
1,"parallel"
1,"parallel implementation"
1,"parallel_api"
1,"parallel_impl"
1,"parallel_simulation_pattern"
1,"parallel_system"
1,"patched_version_of"
1,"potentially_uses"
1,"produces"
1,"produces TileReport and WitnessFragment"
1,"produces_for"
1,"pub mod operations — declares and re-exports JJOperation, JJOperationLog, OperationType"
1,"pub mod reasoning_bank — declares and re-exports ReasoningBank, Trajectory, Pattern, etc."
1,"pub mod types — declares and re-exports JJCommit, JJBranch, JJConflict, JJResult"
1,"pub mod wrapper — declares and re-exports JJWrapper"
1,"pub use gemma2::{...} - exports Gemma2 types (line 93-96)"
1,"pub use gemma2::{Gemma2Attention, Gemma2Config, ...} (lines 93-96)"
1,"pub use hybrid_pipeline::{...} - exports hybrid types when hybrid-ane feature enabled (line 84-87)"
1,"pub use hybrid_pipeline::{...} when hybrid-ane feature enabled (lines 84-87)"
1,"pub use phi3::{...} - exports Phi3 types (line 97)"
1,"pub use phi3::{Phi3Attention, Phi3Config, ...} (line 97)"
1,"pub_mod_import"
1,"pub_re_export"
1,"queries"
1,"re-exported by crate root"
1,"re-exports Entity+Fact+Relationship"
1,"re-exports InferenceEngine+InferenceResult"
1,"re-exports KnowledgeGraph"
1,"re-exports Query+QueryResult"
1,"re-exports Rule+RuleEngine"
1,"re-exports: pub use kalman::KalmanFilter"
1,"re-exports: pub use layers::{GruLayer, TcnLayer, DenseLayer}"
1,"re-exports: pub use pagerank_selector::PageRankSelector"
1,"re-exports: pub use system_a::SystemA"
1,"re-exports: pub use system_b::SystemB"
1,"reads-writes"
1,"receives EmbeddingService via constructor, calls embed() for episode storage and query preparation"
1,"records worker execution results as trajectory steps via intelligence bridge"
1,"reexported_by"
1,"referenced_by"
1,"related-benchmark"
1,"related_to"
1,"replaced-by"
1,"replaces"
1,"requires_embedding_service_initialized_by"
1,"ruv-swarm-clean.js routes DAA tool calls to daa-service.js"
1,"same-package"
1,"should-import-but-reimplements"
1,"should_call_but_doesnt"
1,"should_import"
1,"should_integrate_but_orphaned"
1,"sibling-cli-mcp"
1,"sibling_impl"
1,"sibling_module"
1,"signature_mirror"
1,"spawns-process"
1,"spawns_mcp_subprocess"
1,"supports_but_facades"
1,"systemic_pattern"
1,"test-dependency"
1,"tested-by integration tests"
1,"tested_by"
1,"tests_performance"
1,"transitive"
1,"transitive_import"
1,"transpiled-from"
1,"type-imports"
1,"type_alignment"
1,"type_definition"
1,"type_import"
1,"type_provider"
1,"used_by_conversion"
1,"uses - engine calls scheduler.schedule()"
1,"uses BTSPAssociativeMemory for one-shot learning"
1,"uses ClaudeModel enum"
1,"uses CompactGraph for graph storage"
1,"uses DataMap for mmap support"
1,"uses Delta types for message parsing"
1,"uses EmbeddingCache for 3-tier caching of computed embeddings (native SQLite > WASM > memory)"
1,"uses EmbeddingService for fuzzy cache matching via cosine similarity on embeddings"
1,"uses EmbeddingService for generating agent/task embeddings for HNSW index and similarity search"
1,"uses EvidenceAccumulator for hypothesis tracking"
1,"uses Fact type for rule conclusions"
1,"uses GrpoFeedback for reinforcement loop"
1,"uses HnswIo/load_description for reload"
1,"uses IntelligenceStore for SQLite persistence of trajectories, patterns, routings, stats"
1,"uses KnowledgeGraph for pattern matching"
1,"uses MAGICDATAP/load_description for dump format"
1,"uses MetalContext for flash_attention, gemm_f32, rms_norm (lines 614-818)"
1,"uses MetalContext.flash_attention/gemm_f32/rms_norm (lines 614-818)"
1,"uses Observation from delta types"
1,"uses OutcomeTracker for weight updates"
1,"uses Problem/ProblemType/Severity from detector"
1,"uses Problem/SystemMetrics for remediation context"
1,"uses ProblemDetector for metric collection/detection"
1,"uses ReasoningBank for pattern storage"
1,"uses RestrictionMap for energy"
1,"uses SheafGraph for memory coherence"
1,"uses StrategyRegistry for strategy selection/execution"
1,"uses TierConfig for adaptive tiering"
1,"uses VectorBackend (same interface) for retrieveFromVectorBackend(), HybridSearch not directly used but same pattern"
1,"uses backends::{GenerateParams, LlmBackend, Tokenizer} - depends on backend abstraction"
1,"uses crate::kernels::gelu_vec() from kernels/activations.rs for GeGLU"
1,"uses crate::kernels::silu_vec() from kernels/activations.rs (line 589)"
1,"uses error::RuvLLMError trait"
1,"uses restriction in SheafEdge"
1,"uses scoring logic (divergent formula)"
1,"uses-concept"
1,"uses-for-embeddings"
1,"uses-impl"
1,"uses: SystemA builds architectures from GruLayer, TcnLayer, DenseLayer"
1,"uses_api"
1,"uses_constant"
1,"uses_wrapper"
1,"validated data feeds into preprocessing pipeline"
1,"variant_of"
1,"wasm-bindgen generated JS glue (bundler target) for compiled Rust crate"
1,"wasm-bindgen generated JS glue (deno target) for compiled Rust crate"
1,"wasm-bindgen generated JS glue (node target) for compiled Rust crate"
1,"wasm-bindgen generated JS glue (web target) for compiled Rust crate"
1,"wasm_variant"
1,"worker_thread_dependency"
1,"wrapped_by"
1,"wraps"
1,"wraps Hnsw via AnnT trait for FFI"
1,"wraps_deprecated"
